file_index,name,type,node_index,value
0,UVX,tf,41,1.0
0,UVX,speed,43,13.0
0,UVX,tf,45,1.0
0,UVX,speed,57,21.0
0,UVX,speed,66,18.0
0,UVX,tf,76,1.0
5,BRT3500S,tf,13,0.85
5,BRT3500S,tf,40,0.75
5,BRT3500S,tf,45,0.85
8,UVX,tf,41,1.0
8,UVX,speed,43,13.0
8,UVX,tf,45,1.0
8,UVX,speed,57,21.0
8,UVX,speed,66,18.0
8,UVX,tf,76,1.0
12,O603,tf,15,1.2
12,O603,tf,28,1.0
12,O603,delay,29,1.0
12,O603,delay,37,1.0
12,O603,tf,38,1.0
16,UVX,tf,41,1.0
16,UVX,speed,43,13.0
16,UVX,tf,45,1.0
16,UVX,speed,57,21.0
16,UVX,speed,66,18.0
16,UVX,tf,76,1.0
20,630X,tf,16,1.2
20,630X,delay,26,1.0
20,630X,delay,30,1.0
20,630X,tf,31,1.0
21,MidValCon,speed,18,36.0
21,MidValCon,tf,26,1.0
21,BRT56_R,tf,1,1.0
25,UVX,tf,65,1.0
25,UVX,speed,67,13.0
25,UVX,tf,69,1.0
25,UVX,speed,81,21.0
25,UVX,speed,90,18.0
25,UVX,tf,100,1.0
28,630X,tf,16,1.2
28,630X,delay,26,1.0
28,630X,delay,30,1.0
28,630X,tf,31,1.0
28,200So_2,speed,3,11.0
28,200So_2,tf,29,1.0
29,MidValCon,speed,18,36.0
29,MidValCon,tf,26,1.0
29,BRT56_R,tf,1,1.0
29,BRTFTHLWA_N,speed,49,21.0
29,BRTFTHLWA_N,tf,64,1.0
29,BRTFTHLWA_N,speed,97,21.0
29,BRTFTHLWA_N,tf,112,1.0
29,FthlDr2100,tf,33,1.0
29,FthlDr2100,speed,40,21.0
29,BRT3533S_Core,tf,1,0.75
29,BRT3533S_Core,tf,2,0.75
29,BRT3533S_Core,tf,55,0.85
33,UVX,tf,65,1.0
33,UVX,speed,67,13.0
33,UVX,tf,69,1.0
33,UVX,speed,81,21.0
33,UVX,speed,90,18.0
33,UVX,tf,100,1.0
36,StGrid_2_BRT,speed,29,19.0
36,StGrid_2_BRT,tf,76,1.0
36,630X,tf,16,1.2
36,630X,delay,26,1.0
36,630X,delay,30,1.0
36,630X,tf,31,1.0
36,200So_2,speed,3,11.0
36,200So_2,tf,29,1.0
37,MidValCon,speed,18,36.0
37,MidValCon,tf,26,1.0
37,BRT56_R,tf,1,1.0
37,BRTFTHLWA_N,speed,49,21.0
37,BRTFTHLWA_N,tf,64,1.0
37,BRTFTHLWA_N,speed,97,21.0
37,BRTFTHLWA_N,tf,112,1.0
37,FthlDr2100,tf,33,1.0
37,FthlDr2100,speed,40,21.0
37,BRT3533S_Core,tf,1,0.75
37,BRT3533S_Core,tf,2,0.75
37,BRT3533S_Core,tf,55,0.85
41,UVX,tf,65,1.0
41,UVX,speed,67,13.0
41,UVX,tf,69,1.0
41,UVX,speed,81,21.0
41,UVX,speed,90,18.0
41,UVX,tf,100,1.0
43,POM_Rail,speed,1,14.0
43,POM_Rail,speed,5,14.0
43,POM_Rail,speed,8,10.0
43,POM_Rail,speed,10,18.0
43,POM_Rail,speed,12,30.0
43,POM_Rail,speed,18,27.0
43,POM_Rail,speed,21,21.0
44,StGrid_2_BRT,speed,29,19.0
44,StGrid_2_BRT,tf,76,1.0
44,630X,tf,16,1.2
44,630X,delay,26,1.0
44,630X,delay,30,1.0
44,630X,tf,31,1.0
44,200So_2,speed,3,11.0
44,200So_2,tf,29,1.0
45,MidValCon,speed,18,36.0
45,MidValCon,tf,26,1.0
45,BRT56_R,tf,1,1.0
45,BRTFTHLWA_N,speed,49,21.0
45,BRTFTHLWA_N,tf,64,1.0
45,BRTFTHLWA_N,speed,97,21.0
45,BRTFTHLWA_N,tf,112,1.0
45,FthlDr2100,tf,33,1.0
45,FthlDr2100,speed,40,21.0
45,BRT3533S_Core,tf,1,0.75
45,BRT3533S_Core,tf,2,0.75
45,BRT3533S_Core,tf,55,0.85
49,UVX,tf,65,1.0
49,UVX,speed,67,13.0
49,UVX,tf,69,1.0
49,UVX,speed,81,21.0
49,UVX,speed,90,18.0
49,UVX,tf,100,1.0
49,BRT_CenCore,speed,19,27.0
